.,,,,
Row Labels,Sum of points,,Row Labels,Sum of points
aitken,0,,hamilton,48912.5
albers,44,,vettel,32026
albon,1894,,max_verstappen,28432.5
alesi,41,,alonso,23834
alguersuari,249,,bottas,19541
alonso,23834,,raikkonen,19069
ambrosio,0,,perez,17044
badoer,0,,rosberg,16910
barrichello,5236,,ricciardo,13694
baumgartner,10,,leclerc,12757
bearman,60,,button,11708
bernoldi,0,,sainz,11415.5
bottas,19541,,massa,11149
bourdais,77,,webber,10608
brendon_hartley,37,,michael_schumacher,9376
bruni,0,,norris,7741
bruno_senna,412,,russell,5707
buemi,328,,hulkenberg,5317
burti,0,,barrichello,5236
button,11708,,ocon,4375
chandhok,0,,gasly,4296
chilton,0,,grosjean,4168
coulthard,3034,,coulthard,3034
davidson,0,,stroll,3022
de_vries,14,,heidfeld,2830
diniz,0,,montoya,2760
doornbos,0,,kubica,2748
enge,0,,ralf_schumacher,2618
ericsson,222,,trulli,2539
firman,12,,kevin_magnussen,2522
fisichella,2152,,fisichella,2152
frentzen,336,,kvyat,2075
friesacher,33,,albon,1894
garde,0,,piastri,1370
gasly,4296,,resta,1344
gene,12,,sutil,1285
giovinazzi,124,,kobayashi,1272
glock,445,,hakkinen,964
grassi,0,,kovalainen,953
grosjean,4168,,maldonado,776
gutierrez,30,,petrov,757
hakkinen,964,,tsunoda,736
hamilton,48912.5,,villeneuve,543
haryanto,0,,vergne,532
heidfeld,2830,,glock,445
herbert,0,,bruno_senna,412
hulkenberg,5317,,nasr,345
ide,0,,frentzen,336
irvine,149,,buemi,328
jolyon_palmer,62,,sato,309
jules_bianchi,28,,vandoorne,278
karthikeyan,55,,liuzzi,260
kevin_magnussen,2522,,alguersuari,249
kiesa,0,,rosa,248
klien,118,,wurz,242
kobayashi,1272,,ericsson,222
kovalainen,953,,panis,182
kubica,2748,,zhou,169
kvyat,2075,,irvine,149
latifi,93,,mick_schumacher,148
lawson,16,,piquet_jr,135
leclerc,12757,,giovinazzi,124
liuzzi,260,,nakajima,124
lotterer,0,,klien,118
maldonado,776,,matta,104
marques,0,,latifi,93
massa,11149,,salo,91
matta,104,,wehrlein,90
max_verstappen,28432.5,,bourdais,77
mazepin,0,,monteiro,70
mazzacane,0,,jolyon_palmer,62
mcnish,0,,bearman,60
merhi,0,,karthikeyan,55
michael_schumacher,9376,,albers,44
mick_schumacher,148,,pizzonia,44
montagny,0,,verstappen,44
monteiro,70,,alesi,41
montoya,2760,,brendon_hartley,37
nakajima,124,,friesacher,33
nasr,345,,gutierrez,30
norris,7741,,jules_bianchi,28
ocon,4375,,zonta,24
panis,182,,lawson,16
pantano,0,,de_vries,14
perez,17044,,firman,12
petrov,757,,gene,12
piastri,1370,,baumgartner,10
pic,0,,sirotkin,8
pietro_fittipaldi,0,,sargeant,5
piquet_jr,135,,wilson,2
pizzonia,44,,aitken,0
raikkonen,19069,,ambrosio,0
ralf_schumacher,2618,,badoer,0
resta,1344,,bernoldi,0
ricciardo,13694,,bruni,0
rosa,248,,burti,0
rosberg,16910,,chandhok,0
rossi,0,,chilton,0
russell,5707,,davidson,0
sainz,11415.5,,diniz,0
salo,91,,doornbos,0
sargeant,5,,enge,0
sato,309,,garde,0
sirotkin,8,,grassi,0
speed,0,,haryanto,0
stevens,0,,herbert,0
stroll,3022,,ide,0
sutil,1285,,kiesa,0
trulli,2539,,lotterer,0
tsunoda,736,,marques,0
vandoorne,278,,mazepin,0
vergne,532,,mazzacane,0
verstappen,44,,mcnish,0
vettel,32026,,merhi,0
villeneuve,543,,montagny,0
webber,10608,,pantano,0
wehrlein,90,,pic,0
wilson,2,,pietro_fittipaldi,0
wurz,242,,rossi,0
yamamoto,0,,speed,0
yoong,0,,stevens,0
zhou,169,,yamamoto,0
zonta,24,,yoong,0
Grand Total,367971.5,,,
